uid,likes,comments,followers
B-ItKFBBs5x,161,72,23266
B-ITMauic9p,353,16,7072
B-ItQe-n2ml,127,5,730
B-ItS7ghGcL,170,7,4845
B-ItTJanLEd,177,22,46098
B-ITv3wIzqp,844,18,22154
B-ITyGwnb6p,1986,27,108758
B-Itz6jprwm,215,6,74727
B-ItZsDl_7R,4833,121,598451
B-IU5o0C6A0,838,48,2165
B-IUc7UhZDr,133,68,1046
B-IUc81Ijk0,3742,107,75674
B-IUDOgHuMO,2104,47,64112
B-IuF_9pRoZ,1086,18,22868
B-IUiPmnxnm,131,25,1586
B-IuNbCp6-s,486,20,847919
B-Iv_PRpV-Z,411,18,8292
B-IV8ubl08K,1536,51,79418
B-IVd_Lp4D7,2670,81,116918
B-IVdE9FAr0,555,29,194828
B-IVkDdqu5H,4842,60,41150
B-IvMzZB4t_,1898,38,688804
B-IvNzwJJp0,510,5,6379
B-IVQxQAK4R,551,25,9532
B-IVR2nKb15,391,21,11820
B-IVrr0pESu,5533,45,583466
B-IVuS-pqum,1554,37,3600
B-IvzXgD8d1,621,14,60359
B-IW5XdpA6b,436,22,2478
B-IW5ZVgWPB,1204,49,27972
B-IWKsXAA0C,190,37,1574
B-IwrRbgsFP,158,4,5536
B-IWuSbpzlX,221,23,1260
B-IwZUYgvfc,2329,29,305954
B-IX0sigihE,412,8,65207
B-IXDPshFXa,580,30,49052
B-IXfk1AaNf,519,23,44416
B-IxnLDF7-z,484,3,13549
B-IXtb1pl6z,121,1,1835
B-IXTDZj9TW,216,7,1303
B-IXVb0DM1R,917,19,119190
B-IXX7jjxnt,7800,268,185024
B-IxylIl7I0,900,37,103402
B-IY27GHxuh,508,25,45571
B-IY2Bug2Hd,459,6,1217
B-IY4XrHRyO,161,32,3144
B-IYBN7JZcc,494,46,6122
B-IyEqIls0K,1107,24,3602
B-IyH0zoTWt,579,19,12898
B-IYhUuJClX,250,5,2493
B-IYKDICucT,137,20,10882
B-IYmOGIona,2990,16,762526
B-IYxM2l2CP,354,97,3058
B-IZ--Oh5SM,132,32,1136
B-Iz33Nl3PM,842,12,234021
B-IZAxSDb06,27513,92,1413134
B-IzBdKgO5_,208,15,9177
B-IZiaLDS-h,3476,26,401154
B-IZiftluCn,3390,24,1595435
B-IZoa6grBV,270,10,1410
B-IZyGMlocI,3203,14,533244
B-JA5kZBRgZ,133,3,2654
B-JAeoLAnhR,187,14,3349
B-JBCXLgwpB,163,7,310
B6z2vyVn2Vl,131,11,783
B7gJ945JrT1,154,9,856
B8_z_fdJW94,231,32,1270
B8tef3fn86p,178,17,1043
B9_-Y6iKqbd,1358,22,34334
B9_7-i8HJeA,806,3,15719
B9_dEY6Booc,214,3,8362
B9_jTJjh6yw,234,3,4296
B9_Nh3UB4S0,139,3,4296
B979WDJJAT9,202,10,3144
B98pjasDhVv,103,10,503
B9935Y7nUum,1893,9,1161
B99ei8TB3_0,1127,14,4988
B99mIP7HqYf,4368,29,167233
B99NOlIg0tw,876,8,10456
B99P7YUjHYu,173,19,1520
B9c-sVVBHQ5,96277,995,1065204
B9M_-rNg0Er,287,17,993
B9WejSrBIsL,277,22,302
B9wPREWhq0l,582,77,4534
B9Y_fqoHwUn,140,8,489
B_Ssg39hBUL,1960,27,234891
B_QKELBhfwt,7031,64,234891
B_Pw0Yvgggj,9017,82,221360
B_SlbUIn8Nc,490,50,15142
B_ODaDkAnt6,7791,37,171156
B_QiZpmAxQS,6690,34,171156
B_QTPINjoVH,352,82,3469
B_NWBV1nGU1,1297,111,15142
B_SrKVODKD6,221,6,33127
B_SrFlbFhuI,362,11,25933
B_Svcz6jaqR,274,20,26755
B_St1SWKMCz,1510,20,806681
B_SsfnQAl74,375,20,115343
B_SnSLvFsW8,1401,81,40002
B_Sguz8o0XP,2473,117,84446
B_SqbVzl-gm,894,16,19918
B_SuFx-FKZx,290,34,6542
B_SqlSugZcM,175,6,3509
B_Srh9VAEfk,420,10,16977
B_SZRwCJv-J,2769,27,112146
B_SqmDon6jr,568,30,1771
B_SoOgjlXVq,2112,14,108437
B_SHw5SpJFG,2085,64,15856
B_SdS4vHuOt,1387,7,35063
B_Skz9YHvqE,9427,63,2025875
B_SuNdqF-ir,463,19,22243
B_SvVwUjq9d,117,2,2927
B_SvrVfgD8l,294,3,48443
B_StuxpluUv,391,55,86944
B_Spvs-JxKQ,173,11,800
B_SxYJQllCe,187,62,3026
B_Sox8El1al,718,17,2127
B_SuTRGB9cf,154,16,844
B_Sy5nhnhGR,229,6,9374
B_St1c9jqBj,194,148,3547
B_SokpsArZL,114,4,813
B_StE94FnwC,283,15,5659
B_Sx6wNIBq-,169,10,18984
B_Svm38HRSp,561,13,73065
B_SwIPxAZGj,293,57,15308
B_So-ofI6z_,203,4,4253
B_SxiEnAV1y,238,7,2053
B_SoH0SArYt,201,3,1977
B_SnNRtAm2S,192,12,3590
B_StY2hFNpc,263,2,1025
B_SuijSgBzS,164,17,3071
B_SwYoMlTkH,227,3,864
B_SxYR9jBYO,187,6,23199
B_St6KuAt7n,184,103,5911
B_SwIPxAZGj,294,57,15308
B_Stw1SFPkO,391,9,54744
B_SwETgD3Uw,421,17,17083
B_SwnEdgINs,168,8,7884
B_SjmlIDR70,405,40,65307
B_SnWCfHBXH,376,23,70835
B_SkunclJbO,303,20,47899
B_SxrMIjmnY,2466,31,505510
B_VvYf-lt2g,135,28,1763
B_VxrATAsTE,151,6,1236
B_VpZvWgmF1,136,8,2777
B_VmKoIA7Vc,1085,13,50989
B_VpDgJpoSL,125,19,1638
B_Vt_24BPLx,256,24,4876
B_Vxt5TjVlU,233,49,7265
B_Vxe3aFek1,126,28,1758
B_Vs1i-pRLk,1729,12,62343
B_VyQLnJI9n,174,6,2271
B_V0lPahlui,155,2,3677
B_VwEztA4o-,108,4,3085
B_VzdMiBb87,306,7,8858
B_VqqTpH_cv,5340,211,650276
B_V061LFMdl,265,24,52130
B_V1lpYJYHE,134,4,11205
B_Vw08Yn7Ph,102,9,2574
B_V0MHqhPXT,155,9,35480
B_VzM7Ln0rp,256,22,1530
B_VpjIslOHq,355,28,2276
B_VkDRNHrny,264,13,1351
B_VnIyGBZB8,1681,486,15117
B_VfJcNHAzR,6558,363,67826
B_VsW5NhStk,606,16,3055
B_VglW4BRh4,210,5,1881
B_VkyRzFirL,9233,390,790009
B_V06w2nCDy,314,13,17132
B_Vf03ZH7v4,133,5,1215
B_VHh4AFnG3,297,32,381
B_VZfOdgmne,489,131,4972
B_VVSAflZYL,3527,3319,57461
B_VJbvtl5v_,460,31,805
B_Vb6HfqTkr,200,9,5813
B_VT0pElevP,198,28,817
B_UxKa3lf0g,293,4,15333
B_VhEgvgLiX,125,4,3991
B_Vkwnlgqu0,1116,52,3310
B_VmeYllipB,273,36,11982
B_Vj0D_ltxV,340,38,11982
B_Vw1eulKhH,1369,57,73275
B_VryuqlhmJ,1234,198,19803
B_VdGNNhegH,218,38,28124
B_VvwPaH9_s,1211,106,45471
B_VsN5sB8eM,967,18,10366
B_VzdMiBb87,308,7,8858
B_VpjIslOHq,357,28,2276
B_Vs-K5hLWr,137,1,1397
B_ViOaxgja-,232,7,2853
B_VvTtBJLmv,113,0,1654
B_VjjggInxF,271,12,1113
B_V1cI5l6Ri,193,13,6721
B_V06w2nCDy,320,13,17132
B_Vc9EjpVWd,313,16,3005
B_Ua4tDoAL2,272,48,1247
B_VDU9MBNif,230,53,1379
B_Smi90oYx5,130,8,24056
B_VM7bWoFVg,1090,47,119807
B_VC4Ueogdh,192,51,1952
B_UqoiEp4Q1,1352,46,119807
B_SkJN2nAFK,197,30,2973
B_VXq-rBWju,122,16,1222
B_UH8P0FnOF,140,28,1090
B_U5tcllmkP,590,36,4106
B_VNTaDozrC,454,15,4055
B_Vkwnlgqu0,1118,52,3310
B_VUEgfDXR7,1350,47,4348
B_VRyLUBFpo,208,11,4654
B_U95GDgXBU,175,9,622
B_Vm2bkJvzQ,1313,15,596240
B_VS4vKFxkN,577,21,1720
B_VHldeHQDZ,133,14,1183
B_USvqvA8f_,162,5,1251
B_U7ToWneWv,398,73,6602
B_VZOmEA8hd,2108,37,7870
B_T1_fVFJ3p,858,60,13012
B_VKLuNBAn2,158,49,2386
B_UqoiEp4Q1,1353,46,119807
B_U3N3gAZyp,196,57,1160
B_VS18pD3k9,142,37,829
B_VEkibHZst,169,6,952
B_VEiocJrAI,161,59,1549
B_Uea0jpu5-,126,36,1206
B_U7xLiFQFE,958,6052,6440
B_Ur81KpnaF,192,6,1251
B_VYiicFdkA,180,31,5163
B_Pf1sPgMcR,167,8,1169
B_Q_5RNHpvv,362,3,945
B_SORTShTSA,184,10,802
B_UvKlSD-ph,588,12,1648
B_VGuUMhUpZ,525,14,4799
B_StNSHhOI-,359,2,716
B_M8-E_p-0y,526,91,642
B_S8Fl7oDU5,129,3,1263
B_S544SFxe5,162,8,843
B_VJR1_lITD,364,15,5114
B_UwEjRAyiM,241,34,503
B_UBaUCAxqd,290,10,1600
B_VAxnXH-gg,143,34,669
B_PlH0HpPXn,148,3,3207
B_SApVTFla5,804,92,6305
B_U_JQ_qfA7,390,45,7574
B_UoR2Shcka,134,34,1136
B_UANw1p2Fk,373,45,16293
B_UCg4Mp8Dh,172,56,1467
B_SSLIZjpzA,537,23,3852
B_Uyf6rgjjQ,214,49,1132
B_VKr2LgN77,276,3,1487
B_Um8S5IQsb,123,18,724
B_UtAfNF6y9,109,3,1010
B_U2qvPD0Vi,105,8,981
B_UZwfPomFT,148,12,1501
B_NIIrFl6mk,173,22,1015
B_MykYon0uH,153,24,1065
B_P-oczJxiN,154,27,1103
B_NUH4bhH6s,163,4,904
B_Ug-a3FFjn,198,2,630
B_SbJUADAzm,161,20,1843
B_SUWmyHmVf,411,26,641
B_VVR3LKxrj,110,18,1005
B_VR27AK8oU,307,5,2752
B_Up_HXnP85,143,11,570
B_UQuCmpoMK,120,5,1672
B_S8-iNDq0_,219,14,3550
B_UANw1p2Fk,374,45,16293
B_UmbHbH9T4,138,3,1403
B_UWQneFvvt,142,2,1719
B_Vfzf7DMcj,402,38,1134
B_VNy8XF9f-,309,19,368
B_VhsWRlKAh,1671,4429,5080
B_VyGExBm2o,256,7,6458
B_VLe4MFEMl,130,8,550
B_VsN5sB8eM,1022,23,10372
B_VY--uJlV_,226,10,2350
B_VZfOdgmne,493,131,4973
B_Vb5v2HQ-p,208,9,1841
B_NgjDvFj7e,1148,111,2246
B_TW6d_BukR,1399,38,4107
B_K--ZCjr6P,148,13,1026
B_H0ZhSAe2v,963,38,18754
B_SkJN2nAFK,197,30,2974
B_VvRFsjCmw,154,3,17124
B_T0WN_FoCP,346,9,1164
B_GIW0ylSJU,332,12,1673
B_HKqy0FA0t,164,61,679
B_PrLLAJED1,216,8,1506
B_RqseoJT1L,422,10,24815
B_Rl6CgBNVA,492,77,3109
B_Sj8l8lwgu,126,7,1033
B_RcYMtFtyh,193,28,638
B_UMeVQl4Zt,885,51,1798
B_Tr2RDJ1gN,148,18,4856
B_TRDzgBQfL,413,104,14958
B_UM1wDFjab,212,15,1307
B_UT-dKHJnW,1122,15,8811
B_UFPiYAlqm,143,63,555
B_VjlCnpvYU,205,5,20640
B_Vg-uXh74S,1705,27,28835
B_UatRbJTTU,681,15,622
B_VixXSg-z9,260,11,1460
B_UDxGfpUt4,5836,41,171580
B_U4_IqlQwK,627,29,17052
B_UXj6gIGP9,1029,11,11671
B_UUJGLFx4x,542,26,2436
B_U7xLiFQFE,961,6054,6439
B_STjkfl6Vy,1141,8723,6439
B_SAjqklwyb,289,6,2436
B_S2zafqM68,589,19,2018
B_U5BqwDg8_,115,35,1830
B_SZS19Js00,331,59,1829
B_UjLQtHG0B,1475,35,3530
B_RbO9eFg6o,820,19,855
B_VJLWQnK2I,786,75,1332
B_VVbhCJQU-,1202,168,3058
B_UzFz2g-bb,266,3,3828
B_VJHuAhbD2,388,82,23905
B_Vc4n8hyFW,413,7,1340
B_VS8cSB2wy,176,7,1522
B_U4ldyJr0i,203,8,1203
B_UH9sClnPY,155,9,580
B_VZTetBBb2,187,18,877
B_VEteGBj9z,1860,1870,19275
B_VUy6IqVAS,665,30,2194
B_UwXtHFnzI,306,7,1193
B_U_9ZWDury,214,11,5544
B_UxQGLD--S,1950,1018,45145
B_UxY6jDOcN,2046,1163,42019
B_U0qbUpFtN,195,15,620
B_UfADOnwCT,215,5,1207
B_U_zeRgWAr,196,61,676
B_SwXGSjhjC,1430,31,37276
B_J9xvlpS2-,338,18,1187
B_P7aPgDCwT,1664,15,37276
B_NViogAag5,296,11,4292
B_Ryuk9hkNj,1486,31,50552
B_VIObAABQz,213,7,1438
B_QKqj9JQw8,156,11,1035
B_NG5TTFmoU,203,5,661
B_QUtPbFlYv,5726,4384,57461
B_VVSAflZYL,3574,3370,57461
B_NausLl1B0,6792,5141,57461
B_THRDpFzyB,5269,5050,57461
B_QH-4yjCUR,552,18,1114
B_U6kQyJub2,1960,113,9964
B_PYAgolNPC,201,18,1003
B_SRv9HJRMX,2877,195,9964
B_VGTMNlxSh,151,22,4527
B_VpjIslOHq,416,34,2277
B_Vh4JKKpgH,1135,33,22568
B_Vqt3HJb3D,250,9,6487
B_Vf231DaTz,171,23,840
B_VnPhNgS0X,1137,284,11396
B_Vu5Vjl6HE,346,2,854
B_VxrATAsTE,218,8,1241
B_VttlppR0a,164,10,5308
B_V06w2nCDy,507,16,17133
B_P947VH65S,429,16,1305
B_S2j-3jKWd,111,10,1464
B_OigLHpy4w,181,3,3385
B_RdkMDl5jE,111,19,599
B_SYZmInJDn,547,47,15740
B_U7h8EHjuW,213,41,826
B_QA6lEDcit,158,4,941
B_PvxmnAjUd,177,3,1050
B_K9XWoKHSa,375,5,1799
B_TwE4-gbeV,143,7,1050
B_UNmCdDCQs,238,3,2773
B_NmTDRj15U,833,253,2773
B_QGV7egJqp,376,12,1662
B_Klg05ANtI,151,3,1050
B_Vw3BAH01j,266,6,1039
B_VoeC9DPkU,297,4,787
B_VsF0-BHy_,2361,85,3869
B_V1KHEA_QA,112,5,4691
B_VrcI-hklN,235,18,16870
B_Vum7Rlke6,278,23,3902
B_Vy3XXpFFO,160,37,7210
B_VxTMPpTqp,826,14,95044
B_V06w2nCDy,528,17,17134
B_VJHuAhbD2,390,82,23905
B_VNzcNAL9f,419,49,1088
B_Ve5D9hW0q,231,9,2911
B_UtaH7Jg_O,235,9,16763
B_U0sBCj7MJ,136,10,467
B_Va5pOpqah,354,33,966
B_VE0FyBUPp,348,15,1542
B_VFD28FBUU,200,55,2075
B_UXQySj-bq,228,61,1602
B_VX0s5Bnu0,416,31,1082
B_VWVX_pwef,491,30,4909
B_VMPjrDQWZ,267,24,873
B_Uz7Jvji9X,189,13,11413
B_VX0s5Bnu0,418,31,1082
B_VWVX_pwef,493,30,4909
B_VMPjrDQWZ,268,24,873
B_VE0FyBUPp,350,15,1542
B_VLnalAyK9,287,14,935
B_VAajOhk5a,299,5,916
B_VoLzrjwAU,156,6,1108
B_VbTzhAcI7,308,12,1457
B_ViMBmp35C,131,8,1044
B_Vw3BAH01j,281,9,1042
B_VcZmLHUfR,350,8,1347
B_VceBunjVx,342,32,2450
B_V0QjrA9_S,376,15,24524
B_VdYSDnSpW,159,6,2240
B_VxTMPpTqp,851,15,95045
B_Vj24-FVvE,192,18,1673
B_VX0s5Bnu0,418,32,1082
B_VZFdfH5KQ,167,4,1077
B_VoLzrjwAU,158,6,1108
B_VVhlmhHdx,210,27,765
B_VZ_P-IT6C,1726,49,63145
B_VaDujFysi,120,12,925
B_VLnalAyK9,288,14,935
B_V06w2nCDy,641,18,17136
B_V3IdOnoV8,2580,91,137317
B_V2uJilbud,149,9,21107
B_V0HhqlOt2,475,43,37090
B_V1dsYp8w-,468,30,7494
B_V17l9DR2A,705,118,25008
B_V1jL6nNe2,180,15,67048
B_VzcCkpvvq,2045,136,524043
B_VyUj0BePs,547,23,20101
B_V1jL6nNe2,181,15,67048
B_V023KjPri,313,24,34715
B_V1-rnlByf,1684,50,228967
B_V6DAVjUyD,312,32,13896
B_V17l9DR2A,717,120,25008
B_V40usATMf,1200,20,10931
B_V06w2nCDy,653,18,17136
B_V2GrenpPe,1302,24,32042
B_SUWmyHmVf,412,26,641
B_VX0s5Bnu0,420,34,1082
B_VujAkhfOv,733,941,10344
B_Ve5D9hW0q,233,9,2911
B_VuWnaB3so,170,90,5655
B_VWRnvFtrX,143,3,3929
B_Vd69WJmlr,226,11,1228
B_VoLzrjwAU,162,6,1108
B_UUJGLFx4x,542,26,2437
B_UqtnPpwvU,160,36,1949
B_SvbfyHon1,124,52,796
B_UHhwdgKCU,285,16,3693
B_UBU-TjcKf,211,9,894
B_T_8AeBvz4,203,28,529
B_UbqX5nwvS,203,15,1308
B_VWVX_pwef,494,30,4909
B_VMPjrDQWZ,269,24,873
B_UVA1rD1VE,172,4,1135
B_VZFdfH5KQ,169,4,1077
B_VE0FyBUPp,351,15,1542
B_VceBunjVx,345,33,2450
B_VWLedBG_e,2184,2464,21470
B_VvwPaH9_s,1437,116,45479
B_VuFnqhFgf,195,12,895
B_VUu0ypFgi,213,33,1946
B_Vd69WJmlr,228,11,1228
B_VoLzrjwAU,163,6,1108
B_RxLOCJ-Le,152,11,1024
B_UfEz4n-jP,111,9,527
B_T8zEeIk27,134,14,1209
B_TgF2aH-es,170,10,1600
B_V0QjrA9_S,406,15,24524
B_ULvhYok9v,178,8,866
B_VZ_P-IT6C,1735,49,63145
B_UrIUlqMpM,184,0,671
B_VVhlmhHdx,212,27,765
B_SayQIFSzp,216,28,779
B_Tu5m4Hsub,106,35,355
B_SdjmRDcG-,184,11,448
B_Vb645l6s0,174,28,1527
B_S_Og2BP4O,3763,126,166805
B_SEgu-pXp7,123,15,1391
B_UhTZNnokx,135,12,2919
B_SLJxKBtQ4,136,4,424
B_UGSMPjc_3,408,6,10910
B_PmEG8Dx7Z,7452,225,177092
B_VcuSvpUmp,568,27,6187
B_QLff9BDpH,746,20,8418
B_S0vO6AidU,1728,49,1391
B_Px3QUB1cw,2819,93,32205
B_QQZz9ptQX,1928,56,1391
B_M-iB4j882,3693,140,177092
B_TEzbZphnp,131,2,1172
B_VgQ46HwJz,534,29,1800
B_Vey0ZjeKW,476,13,2492
B_VkGTuBYsN,411,15,1154
B_VWhfLlyFd,461,8,699
B_VgTlinc_i,117,8,1117
B_VWtM0nCw4,184,5,2180
B_VZmfXj9UP,525,27,1157
B_Vd7lYJIgS,272,15,1615
B_VgsZqFTS6,1169,162,4505
B_UlPyvhlql,15663,243,260512
B_VLzy3p8qd,248,10,880
B_Ujd55Hoh0,502,63,6137
B_VgYXlHeql,275,11,4310
B_T2sWwFofU,1094,23,20364
B_U_HVBpo5I,266,8,9696
B_VTDD-Asa4,268,48,1300
B_VujAkhfOv,744,958,10345
B_VgxM-lEb2,234,6,1128
B_V0QjrA9_S,410,15,24524
B_Vy5hZpohO,495,6,2633
B_VujAkhfOv,1143,1467,10382
B_WFb27nb0W,408,12,995
B_Vgl6vHGmH,147,2,2705
B_VVhlmhHdx,238,27,765
B_V9sk2g0eM,1832,60,67507
B_VundIgqDY,275,6,3019
B_VYVCaj40N,185,15,1143
B_Vj_NMFycj,478,36,3206
B_Uq-tAHtTM,126,29,919
B_U6mzxl8dM,139,11,436
B_S6Yt-FQD4,362,4,2148
B_SzO3lH_E-,333,49,746
B_Skdi7Hhn3,640,32,2406
B_VKFL_pcBV,366,81,1462
B_UqtnPpwvU,165,40,1950
B_Uf0M5JA4l,206,4,3850
B_TYsAFHQXp,271,10,2643
B_WEWzUh71y,1313,135,16201
B_V9yhBp3tJ,5425,183,522743
B_WDLAtFVpi,204,8,881
B_WAZGaDlVx,211,8,658
B_WBZPvjFB3,1283,37,21467
B_WCr_PH1CZ,201,8,1228
B_WGJDkh0Ng,771,12,27055
B_WHEiJAkpW,1308,38,5196
B_WJ8rHJaIT,402,131,11229
B_V8gWgg4T0,232,9,3933
B_VvwPaH9_s,2268,150,45499
B_WFv2zhooe,156,1,9399
B_VvegAHtQX,1536,33,27028
B_VrXmXomms,117,44,748
B_V73FOhwue,186,24,15209
B_VundIgqDY,276,6,3019
B_V4FI2AJPM,254,71,2459
B_WAKXzFDtI,1204,26,23120
B_ReXjan0gC,463,32,1946
B_UXQySj-bq,234,65,1600
B_Ta7ECDqgd,276,56,1353
B_UPP_gnQwk,110,28,1430
B_UHhwdgKCU,340,16,3693
B_S_Og2BP4O,3777,127,166794
B_SvbfyHon1,124,56,796
B_SzpZfn0c0,117,6,1420
B_T_8AeBvz4,205,28,529
B_UbqX5nwvS,206,15,1307
B_UBU-TjcKf,214,9,894
B_VIPU0j6dW,326,5,1556
B_N_4mtpIS-,147,3,756
B_Lr0HWJ9Oz,277,7,756
B_LsTIxp67B,123,2,756
B_Tn4N1AGVt,180,8,3272
B_RDG38gc43,192,6,3272
B_LsHXhpshr,112,3,756
B-yYCYvBYX7,5071,389,195704
B-9P3SwhWTV,121,36,859
B-7VaVUhj74,21376,168,236476
B_GGVQuj47e,2445,53,4242
B_MkObvDs0_,2509,3652,47034
B_S9-maHyVv,159,14,1008
B_VX0s5Bnu0,464,47,1083
B_S2yV6JC_r,585,53,1095
B_URRtun0hL,393,11,2137
B_VWVX_pwef,520,32,4908
B_VceBunjVx,402,37,2450
B_VZFdfH5KQ,192,5,1077
B_Vd69WJmlr,253,13,1228
B_WOGXDjulQ,152,6,1404
B_WEGtrl4bn,209,17,2398
B_WIfB1gjRU,113,8,519
B_WF5uWAvDK,241,16,590
B_V74DhFKUU,378,84,1113
B_WKR9ghtDT,297,7,577
B_WAshMFvfY,141,5,878
B_WCR2mBt2W,118,4,1722
B_WJYE6liGQ,244,11,1346
B_SkJN2nAFK,200,30,2975
B_Ug-a3FFjn,201,2,630
B_NUH4bhH6s,163,4,905
B_SUWmyHmVf,413,26,641
B_J5GcrpwD5,134,8,1017
B_T0BtTnPEj,105,3,829
B_VnQeCD2u8,3925,41,288037
B_Vv6yfDyLE,2088,36,110028
B_Uxi_YnKgG,1394,14,110770
B_VeVGJHbL6,1144,45,128791
B_VrJ9ml0Q8,480,38,47209
B_VJglwFkSe,7015,54,668513
B_VQs0ohsFU,4610,65,235507
B_VKUSmlrJ8,3720,116,853731
B_VSBN4ARUH,6319,63,685722
B_U99F6gxL0,2704,50,363312
B_VLtO_gPtL,2280,51,363312
B_U-FaCHgJu,5540,75,390405
B_U0_FgFQia,1610,33,176751
B_VWORYFKfS,1924,21,40305
B_Vt2gZBJrX,169,6,7614
B_U07kOlQqB,973,30,14433
B_U-EBDBY8H,182,18,5214
B_WDgE-BD5r,112,11,11582
B_V_ESIlJxY,317,63,7757
B_Vm1AlJuEC,199,18,1494
B_WFIOmJ2lE,126,2,593
B_WBI5yBEK0,1602,61,125641
B_VyyB3JkdV,1318,47,126444
B_V7bnrJHgT,190,3,61815
B_V8K6rFzS7,242,28,23795
B_WJQVfFXv0,207,21,57936
B_VwglYJIN7,5194,103,205736
B_WBI5yBEK0,1603,61,125641
B_VyyB3JkdV,1319,47,126445
B_VwglYJIN7,5195,103,205736
B_Vky1HF7_p,498,15,6965
B_VnQeCD2u8,3930,41,288038
B_VTs69IeLG,509,58,29574
B_VgVJaDzh9,1143,26,7587
B_V9r__lzlN,1195,39,145283
B_V0B2bAfYy,1406,22,91459
B_VLk7rp0rh,8993,136,857991
B_VtnWOFtJe,506,24,57990
B_VsJZhFB5D,6457,349,94422
B_V3c0Sjz4s,2413,42,74345
B_V040aDI22,272,12,80777
B_V-Ku3J7lE,2591,13,140973
B_Vh1ILJEqD,2503,27,596282
B_VstiBgo92,343,13,17947
B_WJlvSlTBi,154,13,22714
B_WIJiyHZEg,210,3,94818
B_S8S6iH4GX,4236,62,110770
B_SF6cknlke,2848,19,110770
B_TJCdup2aa,855,20,43640
B_V7ybNpFX3,145,2,46917
B_SPwt3o-AL,900,21,43640
B_VFXe3gXPd,385,13,43640
B_VIp0kIDoO,126,2,15141
B_UQqz0oT8C,220,4,15141
B_Vd6aLlVkL,1094,63,136884
B_WBXMbn15G,187,37,36845
B_VvfT4gsxC,1857,31,79599
B_VsMg0D2B5,675,17,106875
B_VcvoIntGL,268,23,29297
B_VlB9ehG76,584,19,41082
B_Valn-DpGK,282,35,11771
B_Vgu31n-Ma,390,41,26629
B_VnQeCD2u8,3935,41,288039
B_VbVXPJTnW,3513,27,237262
B_VyyB3JkdV,1320,47,126445
B_VZ8Y3HTvr,2336,34,714604
B_VstiBgo92,345,13,17947
B_V09G8FrG4,1663,33,162763
B_VwkY1nbr9,191,19,8338
B_VOWXLFHP-,103,13,2580
B_V2Xk1pQ6k,707,127,11586
B_Vb5e1qiYb,854,73,22276
B_VIPxkpZB3,156,3,3174
B_V2Ia3FGM3,1175,54,96252
B_VKnManGuW,2208,85,36931
B_VQUx5hBxq,3118,44,332452
B_VPNlwpw7v,680,36,32407
B_VZp6Iq9IC,211,21,7676
B_WB5mVpGNe,118,9,7692
B_WBKwRgqGQ,348,8,99339
B_WG7ZXgTyC,611,15,82887
B_WH4GnAJnL,239,1,32506
B_V02k7AhMB,352,3,3860
B_VvsPUlIy6,5290,275,276460
B_WD2qTDxf6,1208,131,113552
B_WDFMEJkZv,117,1,2244
B_WEGmnp-7T,153,20,3656
B_WFQDah--J,326,17,36607
B_V6atlp1Dn,185,9,5819
B_WOmxHpSSj,207,3,86613
B_WOkNlDw9N,257,5,55678
B_V7BKkj4bW,233,11,29065
B_WFISbAiOC,115,3,12347
B_WAFMOFo5l,130,19,12709
B_WG7ZXgTyC,612,15,82887
B_OF3PlABKk,5186,58,522370
B_UgmnQj0tQ,1109,35,26548
B_QoOOxl-ve,1052,44,43640
B_OM7wVoCUd,1129,31,43640
B_QTlktFkRZ,625,13,43640
B_Na0gcHPZz,531,14,43640
